hanzi;pinyin;cesky;kategorie;hsk
吧;ba;částice (návrh / souhlas);gramatika;2
白;bái;bílý;popis;2
百;bǎi;sto;čísla;2
帮助;bāngzhù;pomáhat / pomoc;slovesa;2
报纸;bàozhǐ;noviny;věci;2
比;bǐ;než (srovnání);gramatika;2
便宜;piányi;levný;popis;2
别;bié;ne- (zákaz);gramatika;2
唱歌;chànggē;zpívat;slovesa;2
出;chū;vyjít / vycestovat;slovesa;2
穿;chuān;nosit (oblečení);slovesa;2
船;chuán;loď;doprava;2
次;cì;-krát;gramatika;2
从;cóng;z / od;gramatika;2
错;cuò;chyba / špatný;popis;2
打篮球;dǎlánqiú;hrát basketbal;sport;2
大家;dàjiā;všichni;lidé;2
但是;dànshì;ale;gramatika;2
到;dào;dorazit / do;slovesa;2
得;de;slovesná částice / muset;gramatika;2
第一;dìyī;první;čísla;2
懂;dǒng;rozumět;slovesa;2
房间;fángjiān;pokoj;místa;2
非常;fēicháng;velmi / extrémně;gramatika;2
服务员;fúwùyuán;číšník / obsluha;lidé;2
高;gāo;vysoký;popis;2
告诉;gàosu;říct (někomu);slovesa;2
给;gěi;dát / pro;slovesa;2
公共汽车;gōnggòngqìchē;autobus;doprava;2
公斤;gōngjīn;kilogram;čísla;2
公司;gōngsī;firma;práce;2
贵;guì;drahý;popis;2
还;hái;ještě / také;gramatika;2
好吃;hǎochī;chutný;jídlo;2
黑;hēi;černý;popis;2
红;hóng;červený;popis;2
欢迎;huānyíng;vítat;zdvořilost;2
回答;huídá;odpovědět;slovesa;2
机场;jīchǎng;letiště;místa;2
鸡蛋;jīdàn;vejce;jídlo;2
件;jiàn;kus (oblečení);gramatika;2
教室;jiàoshì;třída / učebna;škola;2
介绍;jièshào;představit;slovesa;2
近;jìn;blízko;místo;2
进;jìn;vejít / vstoupit;slovesa;2
就;jiù;právě / pak;gramatika;2
觉得;juéde;myslet si / připadat;slovesa;2
开始;kāishǐ;začít;slovesa;2
考试;kǎoshì;zkouška;škola;2
可能;kěnéng;možná / moci;gramatika;2
课;kè;hodina / lekce;škola;2
快;kuài;rychlý;popis;2
快乐;kuàilè;šťastný / veselý;popis;2
累;lèi;unavený;popis;2
离;lí;od (vzdálenost);gramatika;2
两;liǎng;dva (kusy);čísla;2
路;lù;cesta / silnice;místa;2
旅游;lǚyóu;cestovat / turistika;cestování;2
卖;mài;prodávat;slovesa;2
慢;màn;pomalý;popis;2
忙;máng;zaneprázdněný;popis;2
每;měi;každý;gramatika;2
门;mén;dveře;věci;2
男人;nánrén;muž;lidé;2
您;nín;vy (zdvořile);lidé;2
牛奶;niúnǎi;mléko;jídlo;2
女人;nǚrén;žena;lidé;2
旁边;pángbiān;vedle;místo;2
跑步;pǎobù;běhat;sport;2
票;piào;lístek;cestování;2
起床;qǐchuáng;vstávat;slovesa;2
千;qiān;tisíc;čísla;2
晴;qíng;jasno;příroda;2
身体;shēntǐ;tělo / zdraví;zdraví;2
生病;shēngbìng;onemocnět;zdraví;2
生日;shēngrì;narozeniny;čas;2
时间;shíjiān;čas;čas;2
事情;shìqing;věc / záležitost;věci;2
手表;shǒubiǎo;hodinky;věci;2
送;sòng;darovat / doprovodit;slovesa;2
所以;suǒyǐ;proto / takže;gramatika;2
它;tā;ono;lidé;2
踢;tī;kopnout;sport;2
题;tí;úkol / testová otázka;škola;2
跳舞;tiàowǔ;tančit;sport;2
外;wài;venku / vnější;místo;2
完;wán;dokončit;slovesa;2
玩;wán;hrát si / bavit se;slovesa;2
晚上;wǎnshang;večer;čas;2
为;wèi;pro / kvůli;gramatika;2
问;wèn;ptát se;slovesa;2
问题;wèntí;otázka / problém;věci;2
希望;xīwàng;doufat / naděje;slovesa;2
洗;xǐ;mýt / prát;slovesa;2
西瓜;xīguā;meloun;jídlo;2
向;xiàng;směrem k;gramatika;2
小时;xiǎoshí;hodina (60 min);čas;2
笑;xiào;smát se;slovesa;2
新;xīn;nový;popis;2
姓;xìng;příjmení / jmenovat se;lidé;2
休息;xiūxi;odpočívat;slovesa;2
雪;xuě;sníh;příroda;2
颜色;yánsè;barva;popis;2
眼睛;yǎnjing;oči;zdraví;2
羊肉;yángròu;skopové;jídlo;2
药;yào;lék;zdraví;2
也;yě;také;gramatika;2
一起;yìqǐ;spolu;gramatika;2
已经;yǐjīng;už;gramatika;2
意思;yìsi;význam;věci;2
因为;yīnwèi;protože;gramatika;2
阴;yīn;zataženo;příroda;2
游泳;yóuyǒng;plavat;sport;2
右边;yòubian;vpravo;místo;2
鱼;yú;ryba;jídlo;2
元;yuán;yuan;peníze;2
远;yuǎn;daleko;místo;2
运动;yùndòng;sportovat / sport;sport;2
再;zài;znovu;gramatika;2
早上;zǎoshang;ráno;čas;2
张;zhāng;measure (ploché věci);gramatika;2
长;cháng;dlouhý;popis;2
找;zhǎo;hledat;slovesa;2
着;zhe;částice (průběh);gramatika;2
真;zhēn;opravdu;gramatika;2
正在;zhèngzài;právě (teď);gramatika;2
知道;zhīdào;vědět;slovesa;2
准备;zhǔnbèi;připravit / připravovat;slovesa;2
自行车;zìxíngchē;kolo;doprava;2
走;zǒu;jít pěšky / odejít;slovesa;2
最;zuì;nej-;gramatika;2
左边;zuǒbian;vlevo;místo;2
以前;yǐqián;dříve / předtím;čas;2
以后;yǐhòu;potom / později;čas;2
为什么;wèishénme;proč;otázky;2
常常;chángcháng;často;čas;2
上网;shàngwǎng;být na internetu;věci;2
一些;yìxiē;nějaké / pár;gramatika;2
